artifact_path,artifact_type,created_at,source_script,required_for_thesis,chapter,notes,exists_on_disk,run_id,producer_source_sha,file_hash
reports/tables/animal_archetypes.csv,table,2026-06-13T00:45:04.215827+00:00,scripts/generate_animal_research.py,True,Chapter 5 — Interpretation,Animal profile archetypes with adoption statistics,True,20260613T001946Z-0bb4ce5,0bb4ce5,a57621ea293f9cda7bef0966bc38f895f08f5e6c617de01f8d19527264eb7e29
reports/tables/environment_snapshot.csv,table,2026-06-13T00:19:47.110494+00:00,scripts/generate_environment_snapshot.py,True,Appendix,Library version snapshot for reproducibility,True,20260613T001946Z-0bb4ce5,0bb4ce5,6cb274022b0c82a57618d2163eb20a62defc084212df9452c7150bbeda5364bd
reports/tables/feature_family_importance_classification.csv,table,2026-06-13T00:45:48.443451+00:00,scripts/generate_feature_family_importance.py,True,Chapter 5 — Interpretation,Extended family importance with sum/mean/n_features,True,20260613T001946Z-0bb4ce5,0bb4ce5,d6609c0f1bc3cd093db8a96dbc244e0aec66c8f043e24a694209efef4d84ef18
reports/tables/final_model_selection.csv,table,2026-06-13T00:43:56.772815+00:00,scripts/run_analysis.py,True,Chapter 4 - Model Evaluation,Frozen validation-period model selections,True,20260613T001946Z-0bb4ce5,0bb4ce5,bf4735af335fd0b73fb57c85f4aeb27f1a3f89faf473024528d5ad86d930593e
reports/tables/h1_intake_vs_appearance.csv,table,2026-06-13T00:43:48.861353+00:00,scripts/run_analysis.py,True,Chapter 3 — Hypotheses,H1 evidence: intake type and condition vs appearance,True,20260613T001946Z-0bb4ce5,0bb4ce5,bd565cd3e54ca26946186e778bee8b4e12fcaa1570777c112523576e2f94d3ff
reports/tables/h2_seasonality_summary.csv,table,2026-06-13T00:43:49.941541+00:00,scripts/run_analysis.py,True,Chapter 3 — Hypotheses,H2 evidence: seasonality summary table,True,20260613T001946Z-0bb4ce5,0bb4ce5,92533c1b4b479919b74d6fd6a37f17b076926e69864275835f8e4229146e1f69
reports/tables/h3_adopted_only_age_speed.csv,table,2026-06-13T00:43:53.390640+00:00,scripts/run_analysis.py,True,Chapter 3 — Hypotheses,H3 evidence: age and adoption timing among adopted animals,True,20260613T001946Z-0bb4ce5,0bb4ce5,7503db516c3b1d6b30a4829d83dd829f0dd339857a87dfc6b4982e8466c02455
reports/tables/h4_dark_color_summary.csv,table,2026-06-13T00:43:51.206761+00:00,scripts/run_analysis.py,True,Chapter 3 — Hypotheses,H4 evidence: dark coat colour summary table,True,20260613T001946Z-0bb4ce5,0bb4ce5,d4e2ab67d77a044f985cd3bd8d65f0f51bf9b719aac9895ad5444d1f674eb4c0
reports/tables/h5_covid_period.csv,table,2026-06-13T00:43:48.966372+00:00,scripts/run_analysis.py,True,Chapter 3 — Hypotheses,H5 evidence: COVID period adoption dynamics,True,20260613T001946Z-0bb4ce5,0bb4ce5,ba1d1757a2eeb0f3d81f2b51bdac9094f38061db91d2711d3c8cdcda8d37b8e5
reports/tables/local_explanation_examples.csv,table,2026-06-13T00:45:43.807144+00:00,scripts/generate_evidence_pack.py,True,Chapter 5 - Interpretation,"Local explanation examples combining animal journeys, nearest neighbours, and model reasons",True,20260613T001946Z-0bb4ce5,0bb4ce5,0f0f8fe7b7c0bc1eed4f184bd9f0066173853255e0b273c412befd166c8611ab
reports/tables/metric_confidence_intervals.csv,table,2026-06-13T00:45:43.801644+00:00,scripts/generate_evidence_pack.py,True,Chapter 4 — Model Evaluation,Bootstrap confidence intervals for key metrics,True,20260613T001946Z-0bb4ce5,0bb4ce5,8a2db2e21946ef0abde64ab99c4e1d5e5cabf5f360968616da90cdb155e78a97
reports/tables/model_comparison_classification.csv,table,2026-06-13T00:43:47.597633+00:00,scripts/run_analysis.py,True,Chapter 4 — Model Evaluation,Primary classification leaderboard,True,20260613T001946Z-0bb4ce5,0bb4ce5,7c44c3546174be1fa60702ef788af2ca14aa8df1ed4384fb267598dbf169b0ec
reports/tables/model_comparison_regression.csv,table,2026-06-13T00:43:47.752660+00:00,scripts/run_analysis.py,True,Chapter 4 — Model Evaluation,Primary regression leaderboard,True,20260613T001946Z-0bb4ce5,0bb4ce5,5951df6639e246d3ab454c03e39a66a6ad302727842031b1c2025691ff975d85
reports/tables/model_evidence_pack.csv,table,2026-06-13T00:45:43.799643+00:00,scripts/generate_evidence_pack.py,True,Chapter 4 — Model Evaluation,Summary evidence pack for model trustworthiness,True,20260613T001946Z-0bb4ce5,0bb4ce5,7a1ab0457f3a7f6df5bdaf2ab95b7b032c188f6d5d53721ad58ddfcff13afb4a
reports/tables/shap_feature_families_classification.csv,table,2026-06-13T00:43:43.587936+00:00,scripts/generate_diagnostics.py --include-shap,True,Chapter 5 — Interpretation,SHAP aggregated by feature family — classification,True,20260613T001946Z-0bb4ce5,0bb4ce5,7e77a6201ad45fc70cfde0c79ef2f8d6703f584765f8ac5e9b2e54ee98f1c732
reports/tables/shap_global_classification.csv,table,2026-06-13T00:43:43.583935+00:00,scripts/generate_diagnostics.py --include-shap,True,Chapter 5 — Interpretation,Global SHAP per feature — classification,True,20260613T001946Z-0bb4ce5,0bb4ce5,3041233b422cac2f5ae96205f865f56269dc106171b1f5e04da7eb4bb5092b1e
reports/tables/shap_regression_skip_note.csv,table,2026-06-13T00:43:43.826978+00:00,scripts/generate_diagnostics.py --include-shap,True,Chapter 5 - Interpretation,SHAP skip rationale for the selected regression model,True,20260613T001946Z-0bb4ce5,0bb4ce5,6d197e9d577852f6814fe31b255fd67a43983208f1bca828aed5b962df170e82
reports/tables/subgroup_reliability.csv,table,2026-06-13T00:45:43.802644+00:00,scripts/generate_evidence_pack.py,True,Chapter 4 — Model Evaluation,Per-cohort reliability red flags,True,20260613T001946Z-0bb4ce5,0bb4ce5,ee83665c0894d0f3e2aee501e25fd8fd7ba9b92e56bb098d2f960859b84ce083
reports/tables/vulnerable_profiles.csv,table,2026-06-13T00:45:04.217827+00:00,scripts/generate_animal_research.py,True,Chapter 5 — Interpretation,Profiles needing targeted visibility,True,20260613T001946Z-0bb4ce5,0bb4ce5,fa0babe32eec2fc990e05f00f77ac4dea420d2abac254a32a62943a240a1205d
